,Goals,HomeTeam,ShotsFor,ShotsAgainst,ShotsOnTargetFor,ShotsOnTargetAgainst,FoulsFor,FoulsAgainst,CornersFor,CornersAgainst,YellowsFor,YellowsAgainst,RedsFor,RedsAgainst
237,2,0,9,5,5,3,19,15,5,4,2,0,0,0
238,1,1,11,6,5,2,14,23,5,1,2,6,0,1
239,1,0,6,11,2,5,23,14,1,5,6,2,1,0
240,3,1,14,7,5,1,21,16,6,7,3,3,0,0
241,0,0,7,14,1,5,16,21,7,6,3,3,0,0
242,2,1,12,13,4,1,11,15,7,4,0,5,0,0
243,0,0,13,12,1,4,15,11,4,7,5,0,0,0
244,0,1,14,10,1,5,9,8,6,6,0,0,0,0
245,4,0,10,14,5,1,8,9,6,6,0,0,0,0
246,4,1,10,6,7,5,18,14,2,2,4,1,0,0
247,1,0,6,10,5,7,14,18,2,2,1,4,0,0
248,3,1,5,22,3,6,18,17,2,5,2,3,0,0
249,1,0,22,5,6,3,17,18,5,2,3,2,0,0
250,2,1,23,8,10,2,13,13,10,2,3,2,0,0
251,1,0,8,23,2,10,13,13,2,10,2,3,0,0
252,3,1,18,10,5,1,12,15,9,2,2,2,0,0
253,1,0,10,18,1,5,15,12,2,9,2,2,0,0
254,0,1,14,4,5,1,15,16,9,5,2,4,0,0
255,0,0,4,14,1,5,16,15,5,9,4,2,0,0
256,1,1,18,10,5,6,12,21,4,4,2,3,0,0
257,2,0,10,18,6,5,21,12,4,4,3,2,0,0
258,2,1,13,14,6,7,13,9,3,6,2,1,1,0
259,1,0,14,13,7,6,9,13,6,3,1,2,0,1
260,1,1,9,11,4,6,11,10,0,6,1,2,0,0
261,2,0,11,9,6,4,10,11,6,0,2,1,0,0
262,2,1,25,9,8,3,9,13,5,4,2,2,0,0
263,1,0,9,25,3,8,13,9,4,5,2,2,0,0
264,1,1,9,17,3,6,15,17,2,8,4,3,0,0
265,1,0,17,9,6,3,17,15,8,2,3,4,0,0
266,3,1,18,11,10,6,13,16,4,3,1,1,0,0
267,1,0,11,18,6,10,16,13,3,4,1,1,0,0
268,1,1,6,11,2,2,23,12,3,3,3,4,0,0
269,1,0,11,6,2,2,12,23,3,3,4,3,0,0
270,1,1,12,6,7,4,15,18,6,2,4,3,0,0
271,2,0,6,12,4,7,18,15,2,6,3,4,0,0
272,0,1,18,7,7,5,10,11,10,4,1,2,0,0
273,2,0,7,18,5,7,11,10,4,10,2,1,0,0
274,1,1,15,11,1,7,12,9,8,2,3,2,0,0
275,3,0,11,15,7,1,9,12,2,8,2,3,0,0
276,0,1,7,4,1,2,13,25,8,4,3,4,0,1
277,1,0,4,7,2,1,25,13,4,8,4,3,1,0
278,0,1,13,9,5,2,11,17,11,3,1,3,0,0
279,0,0,9,13,2,5,17,11,3,11,3,1,0,0
280,1,1,8,12,2,6,18,11,9,4,4,3,0,0
281,2,0,12,8,6,2,11,18,4,9,3,4,0,0
282,4,1,15,10,4,4,8,12,6,4,1,4,0,0
283,1,0,10,15,4,4,12,8,4,6,4,1,0,0
284,1,1,16,15,7,3,16,15,6,5,3,4,1,0
285,2,0,15,16,3,7,15,16,5,6,4,3,0,1
286,2,1,13,24,7,7,8,17,6,4,1,2,0,0
287,1,0,24,13,7,7,17,8,4,6,2,1,0,0
